timestamp,zone,status
2025-09-21 20:50:03,Zone 6,⚠️ Possible Drowning
2025-09-21 20:50:02,Zone 6,⚠️ Possible Drowning
2025-09-21 20:49:59,Zone 2,⚠️ Possible Drowning
2025-09-21 20:49:58,Zone 6,⚠️ Possible Drowning
2025-09-21 20:49:56,Zone 2,⚠️ Possible Drowning
2025-09-21 20:49:56,Zone 2,⚠️ Possible Drowning
2025-09-21 20:49:56,Zone 1,⚠️ Possible Drowning
2025-09-21 20:49:54,Zone 1,⚠️ Possible Drowning
2025-09-21 20:49:47,Zone 2,⚠️ Possible Drowning
2025-09-21 20:49:47,Zone 2,⚠️ Possible Drowning
2025-09-21 20:49:46,Zone 2,⚠️ Possible Drowning
2025-09-21 20:49:34,Zone 4,⚠️ Possible Drowning
2025-09-21 20:49:25,Zone 6,⚠️ Possible Drowning
2025-09-21 20:49:24,Zone 6,⚠️ Possible Drowning
2025-09-20 20:55:23,Zone 6,⚠️ Possible Drowning
2025-09-20 20:55:24,Zone 6,⚠️ Possible Drowning
2025-09-20 20:55:36,Zone 4,⚠️ Possible Drowning
2025-09-20 20:55:51,Zone 2,⚠️ Possible Drowning
2025-09-20 20:55:52,Zone 2,⚠️ Possible Drowning
2025-09-20 20:56:03,Zone 2,⚠️ Possible Drowning
2025-09-20 20:56:04,Zone 1,⚠️ Possible Drowning
2025-09-20 20:56:05,Zone 2,⚠️ Possible Drowning
2025-09-20 20:56:06,Zone 1,⚠️ Possible Drowning
2025-09-20 20:56:06,Zone 2,⚠️ Possible Drowning
2025-09-20 20:56:07,Zone 2,⚠️ Possible Drowning
2025-09-20 20:56:09,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:10,Zone 2,⚠️ Possible Drowning
2025-09-20 20:56:11,Zone 2,⚠️ Possible Drowning
2025-09-20 20:56:11,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:12,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:13,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:14,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:15,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:16,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:27,Zone 2,⚠️ Possible Drowning
2025-09-20 20:56:29,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:32,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:33,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:34,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:38,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:39,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:40,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:41,Zone 6,⚠️ Possible Drowning
2025-09-20 20:56:43,Zone 6,⚠️ Possible Drowning
2025-09-20 20:57:01,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:02,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:02,Zone 2,⚠️ Possible Drowning
2025-09-20 20:57:03,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:04,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:04,Zone 2,⚠️ Possible Drowning
2025-09-20 20:57:05,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:07,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:07,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:09,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:10,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:10,Zone 2,⚠️ Possible Drowning
2025-09-20 20:57:11,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:12,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:12,Zone 2,⚠️ Possible Drowning
2025-09-20 20:57:12,Zone 6,⚠️ Possible Drowning
2025-09-20 20:57:13,Zone 6,⚠️ Possible Drowning
2025-09-20 20:57:13,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:14,Zone 6,⚠️ Possible Drowning
2025-09-20 20:57:14,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:15,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:17,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:18,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:19,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:19,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:20,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:21,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:21,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:22,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:22,Zone 5,⚠️ Possible Drowning
2025-09-20 20:57:22,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:23,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:23,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:23,Zone 5,⚠️ Possible Drowning
2025-09-20 20:57:24,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:24,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:24,Zone 5,⚠️ Possible Drowning
2025-09-20 20:57:25,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:25,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:26,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:26,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:27,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:27,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:28,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:28,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:29,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:29,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:30,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:30,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:30,Zone 5,⚠️ Possible Drowning
2025-09-20 20:57:31,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:31,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:32,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:32,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:33,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:34,Zone 4,⚠️ Possible Drowning
2025-09-20 20:57:34,Zone 5,⚠️ Possible Drowning
2025-09-20 20:57:35,Zone 1,⚠️ Possible Drowning
2025-09-20 20:57:35,Zone 4,⚠️ Possible Drowning
